23645,20,-1044,-72
23746,28,-1180,-88
23848,8,-1116,-232
23948,-20,-976,-32
24050,-8,-972,-136
24151,4,-1104,-84
24252,28,-1160,-108
24353,20,-1016,-112
24454,12,-908,-72
24556,12,-1000,-52
24657,16,-1152,-80
24758,8,-1144,-56
24858,-8,-968,-44
24958,-20,-972,-64
25059,-8,-1064,-52
25161,20,-1168,-72
25262,28,-1052,-104
25363,16,-896,-100
25465,16,-952,-56
25566,20,-1104,-92
25668,12,-1168,-80
25769,-24,-1040,-28
25870,-28,-952,-20
25972,-12,-1032,-44
26073,12,-1152,-68
26175,24,-1100,-84
26276,28,-916,-128
26377,24,-904,-76
26479,24,-1048,-92
26580,16,-1160,-88
26681,-4,-1088,-56
26782,-16,-948,-132
26884,-20,-1028,-40
26985,4,-1140,-60
27087,20,-1136,-100
27188,16,-988,-24
27289,8,-916,-72
27391,16,-1032,-72
27492,16,-1148,-80
27594,0,-1052,-124
27695,-28,-1000,-24
27796,-12,-968,-56
27898,8,-1128,-68
27999,12,-1152,-92
28101,20,-1020,-60
28202,24,-928,-68
28303,20,-968,-56
28405,16,-1104,-88
28506,12,-1116,-88
28608,4,-1028,-256
28709,-8,-992,-116
28810,-4,-1096,-96
28911,16,-1164,-72
29012,20,-1044,-96
29113,24,-908,-108
29213,24,-924,-84
29314,20,-1068,-88
29416,12,-1132,-76
29517,-12,-1036,-28
29617,-16,-976,-12
29718,-4,-1056,-60
29819,12,-1160,-60
29921,12,-1088,-80
30022,20,-952,-60
30124,12,-924,-80
30225,16,-1036,-88
30326,4,-1136,-80
30428,4,-1056,-40
30573,-16,-968,-48
30675,-8,-1020,-140
30776,8,-1100,-104
30878,20,-1124,-84
30979,16,-984,-52
31080,20,-888,-100
31182,24,-976,-84
31283,20,-1108,-96
31385,0,-1100,-76
31486,-8,-984,-76
31588,-8,-1008,-172
31689,0,-1108,-104
31791,16,-1136,-88
31892,20,-1036,-88
31993,24,-916,-128
32095,20,-956,-80
32196,12,-1100,-92
32296,8,-1128,-68
32397,12,-976,-224
32499,-20,-964,-28
32601,-16,-1060,-32
32702,8,-1124,-64
32804,24,-1076,-84
32905,12,-972,-28
33007,12,-940,-64
33109,8,-1072,-72
33210,4,-1148,-72
33310,-12,-1056,-32
33411,-20,-976,-136
33513,-4,-1028,-124
33614,4,-1112,-64
33715,24,-1088,-88
33817,24,-960,-104
33917,20,-936,-68
34018,12,-1028,-88
34119,12,-1116,-84
34221,-8,-1036,-76
34322,-12,-976,-60
34424,-8,-1016,-36
34525,12,-1092,-92
34626,20,-1112,-80
34728,16,-992,-76
34829,12,-924,-40
34931,12,-1020,-68
35032,12,-1108,-76
35133,-4,-1084,-64
35235,-8,-980,-100
35336,-12,-972,-96
35438,4,-1060,-92
35539,12,-1128,-132
